;TrV;Benämning;Definition;Synonym
Konstruktiva system;JJ;Luftdistributionssystem;transporterande system för luft;
Konstruktiva system;JJB;Tilluftssystem;ventilationssystem som tillför behandlad uteluft eller cirkulationsluft;
Konstruktiva system;JJC;Frånluftssystem;ventilationssystem som leder bort och använd luft;
Konstruktiva system;JJD;Återluftssystem;ventilationssystem som återför frånluft till en grupp av rum;
Konstruktiva system;JJE;Impulsfläktssystem;ventilationssystem utan kanaler;
Konstruktiva system;JJF;Uteluftssystem;ventilationssystem som leder uteluft till behandling;
Konstruktiva system;JJG;Avluftssystem;ventilationssystem som leder frånluft efter behandling till det fria;
Konstruktiva system;JJH;Efterbehandlingssystem;ventilationssystem som behandlar tilluft;
Konstruktiva system;JJJ;Ersättningsluftssystem;ventilationssystem som ersätter förorenad luft med uteluft;
Konstruktiva system;JK;Elkraftdistributionssystem;transporterande system för elektrisk energi;
Konstruktiva system;JKB;Elkraftdistributionssystem för högspänning;elkraftdistributionssystem för ≥ 1 kV AC eller ≥ 1,5 kV DC;
Konstruktiva system;JKC;Elkraftdistributionssystem för mellanspänning;elkraftdistributionssystem för 1 kV - 50 kV;
Konstruktiva system;JKD;Elkraftdistributionssystem för lågspänning;elkraftdistributionssystem för < 1 kV AC eller < 1,5 kV DC;
Konstruktiva system;JKE;Elkraftdistributionssystem för klenspänning;elkraftdistributionssystem för ≤ 50 V eller ≤ 120 V DC;
Konstruktiva system;JL;Signaldistributionssystem;transporterande system för signaler;
Konstruktiva system;JLB;Trådat elektromagnetiskt signaldistributionssystem;trådburet elektromagnetiskt signaldistributionssystem;Datornätverk, telefonsystem, hjälptelefonsystem, nödtelefonsystem, personsökningssystem, upptagetmarkering, bokningssystem, kösignalsystem, hörslinga, snabbtelefon
Konstruktiva system;JLC;Trådat optiskt signaldistributionssystem;trådburet optiskt signaldistributionssystem;Fibernät
Konstruktiva system;JLD;Trådlöst signaldistributionssystem;radiovågsburet signaldistributionssystem;Mobiltelefonsystem, personsökningssystem
Konstruktiva system;JLE;Induktivt signaldistributionssystem;signaldistributionssystem med induktiv överföring;Hörslinga
Konstruktiva system;JM;Transporterande system;transporterande system för personer och/eller gods;Rullramp, rullande trottoar, skidlift, gondolbana, gondollift, Personhiss, Rullstolshiss, Smalhiss, Tillsynshiss, personhiss, Trapphiss, kuggstångsbana
Konstruktiva system;JMB;Hissystem;person- och godstransportsystem för vertikal rörelse i behållare;Möbelhiss, Personhiss, Rullstolshiss, Smalhiss, Småvaruhiss, Sänghiss, Tillsynshiss, Trapphiss, Varuhiss, Varupersonhiss
Konstruktiva system;JMC;Rulltrappssystem;persontransportsystem för diagonal rörelse med trappsteg;
Konstruktiva system;JMD;Rullrampsystem;person- och godstransportsystem för personer i horisontell eller diagonal rörelse;Rullbandssystem
Konstruktiva system;JME;Rullbanesystem;person- och godstransportsystem för gods i horisontell eller diagonal rörelse;Bagageanläggning
Konstruktiva system;JMF;Linbanesystem;person- och godstransportsystem för linburen horisontell eller diagonal rörelse i behållare;
Konstruktiva system;JMG;Lyftsystem;person- och godstransportsystem för vertikal och horisontellr örelse;Telfer, Travers
Konstruktiva system;JMH;Rörpostsystem;person- och godstransportsystem för rörelse i behållare i rör;
Konstruktiva system;JMJ;AGV-system;person- och godstransportsystem med automatiskt styrda fordon;Automated Guided Vehicles
Konstruktiva system;JN;Godstransportsystem;transporterande system för gods;Löpande band, varuhiss, telfer, travers, AGV, bagageanläggning, transportband, Småvaruhiss, bergbana, traverskrav, krankonstruktion, lyftanordning
Konstruktiva system;JP;Ljusdistributionssystem;transporterande system för ljus;Fiberoptik, dagsljusdistribution
Konstruktiva system;K;Behandlande system;konstruktivt system som behandlar något;
Konstruktiva system;KA;Klimatavskärmande system;behandlande system som begränsar eller utestänger klimatpåverkan;Solavskärmning, snöskydd, vindskydd, regnskydd, bullerskydd
Konstruktiva system;KB;Öppningskontrollerande system;behandlande system för automatisk kontroll av öppningar;Brandgasventilation, rökgasventilation, rökluckor, självdragsventilation
Konstruktiva system;KBB;Rökgasevakueringsssystem;öppningskontrollerande system för ventilation av gaser orsakade av förbränning eller pyrolys;Brandgasventilationssystem, rökgasventilation
Konstruktiva system;KBC;Självdragssystem;öppningskontrollerande system för icke mekanisk ventilation;
Konstruktiva system;KC;Renande system;behandlande system för rening av vätske- eller luftflöde;
Konstruktiva system;KCB;Mekaniskt reningssystem;renande system genom mekaniska processer;
Konstruktiva system;KCC;Kemiskt reningssystem;renande system genom kemiska och biologiska processer;Biologiskt reningssystem
Konstruktiva system;KD;Separerande system;behandlande system för separation av ämnen;
Konstruktiva system;KDB;Mekaniskt separerande system;separerande system genom mekaniska processer;
Konstruktiva system;KDC;Kemiskt separerande system;separerande system genom kemiska och biologiska processer;
Konstruktiva system;KE;Blandande system;behandlande system för tillsats av ämnen;
Konstruktiva system;KF;Pumpsystem;behandlande system för tryckökning i ett vätskeflöde;
Konstruktiva system;KG;Tryck- och expansionssystem;behandlande system för stabilisering av tryck och volym i vätska eller i luftflöde;
Konstruktiva system;KH;Transformeringssystem;behandlande system som transformerar elektrisk energi;
Konstruktiva system;KHB;Spänningstransformeringssystem;transformeringssystem som förändrar nivåer av spänning och ström;
Konstruktiva system;KHC;Faskompenseringssystem;transformeringssystem som minskar fasskillnaden mellan spänning och ström;
Konstruktiva system;KHD;Frekvensomriktningssystem;transformeringssystem som förändrar frekvensen hos en växelspänning;
Konstruktiva system;KHE;Likriktningssystem;transformeringssystem som omvandlar växelström till likström;
Konstruktiva system;KHF;Växelriktningssystem;transformeringssystem som omvandlar likström till växelström;
Konstruktiva system;KJ;Antennsystem;behandlande system för dubbelriktad transformering mellan radiovågor och elektriska signaler;
Konstruktiva system;KJB;Sändarantennsystem;antennsystem för transformering av elektriska signaler till radiovågor;
Konstruktiva system;KJC;Mottagarantennsystem;antennsystem för transformering av radiovågor till elektriska signaler;
Konstruktiva system;KK;Se engelskt begrepp från 81346-12:2018;;
Konstruktiva system;KL;Tillträdeskontrollsystem;behandlande system som fysiskt separerar personflöden;
Konstruktiva system;KM;Drivsystem;behandlande system som tillhandhåller mekanisk rörelse eller kraft;
Konstruktiva system;KMB;Direktdriftssystem;drivsystem med direktansluten motor;
Konstruktiva system;KMC;Lindriftssystem;drivsystem med linansluten motor;
Konstruktiva system;KMD;Hydrauldriftssystem;drivsystem med hydraulansluten motor;
Konstruktiva system;KME;Skruvdriftssystem;drivsystem med skruvansluten motor;
Konstruktiva system;KMF;Kedjedriftssystem;drivsystem med kedjeansluten motor;
Konstruktiva system;KMG;Kuggstångsdriftssystem;drivsystem med kuggstångsansluten motor;
Konstruktiva system;KMH;Remdriftssystem;drivsystem med remansluten motor;
Konstruktiva system;KN;Bromssystem;behandlande system genom hastighetsreducering och stoppande;
Konstruktiva system;KNB;Mekaniskt bromssystem;bromssystem genom friktion;
Konstruktiva system;KNC;Elektromagnetiskt bromssystem;bromssystem genom elektromagnetiskt motstånd;
Konstruktiva system;KND;Motströmsbromssystem;bromssystem genom ändring av rotationsriktning hos elmotor;
Konstruktiva system;KNE;Likströmsbromssystem;bromssystem genom matning med likström;
Konstruktiva system;L;Övervakande, styrande och reglerande system;konstruktivt system för manuell eller automatiserad avkänning och/eller påverkan på processer och händelser;
Konstruktiva system;LA;Gaslarmsystem;övervakande system som larmar i händelse av gasutsläpp;
Konstruktiva system;LB;Brandlarmsystem;övervakande system som larmar i händelse av brand;
Konstruktiva system;LC;Integrerat automationssystem;övervakande, styrande och reglerande system för en eller flera processer i en central enhet;
Konstruktiva system;LD;Entré- och passerkontroll;övervakande, styrande och reglerande system för auktoriserat tillträde;Skalskydd
Konstruktiva system;LE;Larmsystem;övervakande system som larmar i händelse av farligt eller oönskat tillstånd;
Konstruktiva system;LEB;Felsignaleringssystem;larmsystem för bristande funktion;Driftlarm
Konstruktiva system;LEC;Vätskelarm;larmsystem för vätskenivå;
Konstruktiva system;LED;Passagelarm;larmsystem för obehörig in- eller utpassage;Inbrottslarm, utbrytningslarm, områdeslarm, stängsellarm
Konstruktiva system;LEE;Utrymningslarm;larmsystem för akut behov att utrymma;brandlarm
Konstruktiva system;LEF;Varularm;larmsystem för tillgrepp av varor;
Konstruktiva system;LEG;Larm för spårtrafik;larmsystem för spårtrafik;
Konstruktiva system;LF;Fjärrövervakningssystem;övervakande system som tillhandahåller fjärravläst data;
Konstruktiva system;LFB;Kameraövervakningssystem;fjärrövervakningssystem med bildregistrering;
Konstruktiva system;LFC;Radarövervakningssystem;fjärrövervakningssystem med med radarutrustning;
Konstruktiva system;LFD;Ljudövervakningssystem;fjärrövervakningssystem med ljudregistrering;
Konstruktiva system;LFE;Detekterande övervakningssystem;fjärrövervakningssystem med händelsedetektor;
Konstruktiva system;LFF;Viktövervakningssystem;fjärrövervakningssystem med viktsensor;
Konstruktiva system;LFZ;Kombinerat övervakningssystem;detekterande övervakningssystem med multipla metoder;
Konstruktiva system;LG;Betalsystem;övervakande, styrande och reglerande system för finansiell transaktion;
Konstruktiva system;LGB;Automatiskt betalsystem;betalsystem med automatisk registrering;Trängselskattsystem
Konstruktiva system;LGC;Manuellt betalsystem;betalsystem med manuell registrering;Biljettsystem, pollettsystem
Konstruktiva system;LGD;Betal- och passagesystem;betalsystem integrerat med tillträdesfunktion;Biljettspärr
Konstruktiva system;LH;Trafikavstängningar;övervakande, styrande och reglerande system för avstängning av trafik ;vägskydd, plankorsningsanordning
Konstruktiva system;LHB;Manuella avstängningsanordningar;trafikavstängningssystem med manuella anordningar;
Konstruktiva system;LHC;Fjärrstyrda avstängningsanordningar;trafikavstängningssystem med fjärrstyrda anordningar;
Konstruktiva system;LHD;Autonoma avstängningsanordningar;trafikavstängningssystem med autonoma anordningar;
Konstruktiva system;LJ;Miljö- och väderövervakningssystem;övervakande system för miljö och väder ;
Konstruktiva system;M;Informerande system;konstruktivt system för presentation av information;
Konstruktiva system;MA;Varningssystem;informerande system som producerar fast bestämd signal eller röstmeddelande som varning för farliga eller oönskade förhållanden;
Konstruktiva system;MAB;Varningssystem med ljud- eller ljussignal;varningssystem med ljus och/eller ljussignal;
Konstruktiva system;MAC;Varningssystem med inspelad signal;varningssystem med inspelat ljudmeddelande;
Konstruktiva system;MB;Ljud- och bildsystem;informerande system som producerar för ljud och/eller bild;
Konstruktiva system;MBB;Integrerat ljud- och bildsystem;integrerat ljud- och bildsystem;Konferenssystem
Konstruktiva system;MBC;Ljudsystem;ljudsystem;Meddelandesystem, PA-system
Konstruktiva system;MBD;Bildvisningssystem;bildsystem;Informationssystem
Konstruktiva system;MC;Trafikkontrollsystem;informerande system som styr trafik;
Konstruktiva system;MCB;Spårtrafiksignalsystem;trafikkontrollsystem med fasta ljussignaler;
Konstruktiva system;MCC;System med variabla ljussignaler;trafikkontrollsystem med variabla ljussignaler;VMS-skyltsystem, FIVÖ-system
Konstruktiva system;MCD;System med ljudsignaler;trafikkontrollsystem med ljudsignaler;
Konstruktiva system;MCE;ATS-system;trafikkontrollsystem för flygledning;
Konstruktiva system;MCF;CNS-system;trafikkontrollsystem för kommunikation, navigation och radarövervakning för flygtrafik;
Konstruktiva system;MCG;DAT-system;trafikkontrollsystem för datautbyte mellan markutrustning och flygplan;
Konstruktiva system;MCH;ATIS-system;trafikkontrollsystem för automatisk information om flygplatsförhållanden;
Konstruktiva system;MD;Tidsignalsystem;informerande system för tid;
Konstruktiva system;ME;Skyltsystem;informerande system i skriftlig eller symbolisk form;
Konstruktiva system;MEB;Fast skyltsystem;skyltsystem med fasta skyltar;
Konstruktiva system;MEC;Dynamiskt skyltsystem;skyltsystem med variabla skyltar;
Konstruktiva system;P;Skyddande system;konstruktivt system som aktivt skyddar mot fara eller oönskat tillstånd;
Konstruktiva system;PA;Brandskyddssystem;skyddande system som öppnar eller stänger dörrar och fönster vid brand;
Konstruktiva system;PB;Brandsläckningssystem;skyddande system mot brand genom släckning;
Konstruktiva system;PBB;Brandvattensystem;brandsläckningssystem med släckvatten;Brandpostsystem, släckvattensystem
Konstruktiva system;PBC;Gassläcksystem;brandsläckningssystem med inert gas;Brandsläckning med inert gas
Konstruktiva system;PBD;Skumsläckningssystem;brandsläckningssystem med skum;
Konstruktiva system;PBE;Dimsläcksystem;brandsläckningssystem med vattendimma;
Konstruktiva system;PBF;Pulversläcksystem;brandsläckningssystem med pulver;
Konstruktiva system;PC;Jordningssystem;skyddande system mot farliga elströmmar genom jordning av elektriska system;
Konstruktiva system;PCB;Potentialutjämningssystem;jordningssystem för utjämning av potential mellan elektriskt ledande delar;
Konstruktiva system;PD;Överspänningsskyddssystem;skyddande system mot elektrisk överspänning;
Konstruktiva system;PDB;Åskskyddssystem;jordningssystem för blixtnedslag;
Konstruktiva system;PE;Katodiskt korrosionsskyddssystem;skyddande system för metall mot korrosion;
Konstruktiva system;PF;Personskyddssystem;skyddande system mot personskada;
Konstruktiva system;PFB;Nödduschsystem;personskyddande system för nöddusch;akutdusch
Konstruktiva system;PFC;Ögontvättsystem;personskyddande system för ögontvätt;
Konstruktiva system;Q;Lagringssystem;konstruktivt system som lagrar information, energi eller materia;
Konstruktiva system;QA;Datalagringssystem;lagringssystem för data;
Konstruktiva system;QB;Gas- och luftlagringssystem;lagringssystem för gas och luft;
Konstruktiva system;QC;Vätskelagringssystem;lagringssystem för vätska;
Konstruktiva system;QD;Energilagringssystem;lagringssystem för energi;
Konstruktiva system;R;Kompletterande system;konstruktivt system som utrustar utrymmen eller byggdelar i ett byggnadsverk;Kompletteringar
Konstruktiva system;RA;Plantering;kompletterande system i form av växter;
Konstruktiva system;RB;Möblering och inredning;kompletterande system i form av anordningar och föremål placerade i ett utrymme för att möjliggöra en verksamhet men som inte används aktivt  för materialbearbetning, energiomvandling eller transport;Anläggningskomplettering
Konstruktiva system;RC;Utrustning;kompletterande system i form av anordningar och föremål som behövs för en viss tillämpning eller verksamhet och som används aktivt;
Grundfunktioner och Komponenter;;DummyA;;
Grundfunktioner och Komponenter;B;Avkännande objekt;objekt för att plocka upp information och avge en representation;
Grundfunktioner och Komponenter;BA;Elektrisk potentialavkännande objekt;avkännande objekt för elektrisk potential;spänningsrelä
Grundfunktioner och Komponenter;BAA;Spänningsdetektor;elektrisk potentialavkännande objekt, med Booleskt utvärde;
Grundfunktioner och Komponenter;BAB;Spänningssensor;elektrisk potentialavkännande objekt, med skalärt utvärde;spänningstransformator
Grundfunktioner och Komponenter;BB;Motståndsavkännande objekt;avkännande objekt för motstånd;
Grundfunktioner och Komponenter;BBA;Elektriskt motståndsdetektor;motståndsavkännande objekt för elektrisk ström, med Boolskt utvärde;
Grundfunktioner och Komponenter;BBB;Elektriskt motståndssensor;motståndsavkännande objekt för elektrisk ström, med skalärt utvärde;Ohm-mätare, Wheatstones brygga
Grundfunktioner och Komponenter;BBC;Termiskt motståndsdetektor;motståndsavkännande objekt för termiskt flöde, med Boolskt utvärde;
Grundfunktioner och Komponenter;BBD;Termiskt motståndssensor;motståndsavkännande objekt för termiskt flöde, med skalärt utvärde;
Grundfunktioner och Komponenter;BC;Elektrisk strömavkännande objekt;avkännande objekt för elektrisk ström;strömrelä
Grundfunktioner och Komponenter;BCA;Strömdetektor;elektrisk strömavkännande objekt, med Booleskt utvärde;rälskontakt, spårledning, överlastskydd, överströmsrelä
Grundfunktioner och Komponenter;BCB;Strömsensor;elektrisk strömavkännande objekt, med skalärt utvärde;strömtransformator
Grundfunktioner och Komponenter;BD;Densitetavkännande objekt;avkännande objekt för densitet;
Grundfunktioner och Komponenter;BDA;Densitetsdetektor;densitetavkännande objekt, med Booleskt utvärde;
Grundfunktioner och Komponenter;BDB;Densitetssensor;densitetavkännande objekt, med skalärt utvärde;givare densitet
Grundfunktioner och Komponenter;BE;Fältavkännande objekt;avkännande objekt för fält;
Grundfunktioner och Komponenter;BEA;Elfältsdetektor;fältavkännande objekt för elektriskt fält, med Booleskt utvärde;
Grundfunktioner och Komponenter;BEB;Elfältssensor;fältavkännande objekt för elektriskt fält, med skalärt utvärde;
Grundfunktioner och Komponenter;BEC;Magnetfältsdetektor;fältavkännande objekt för magnetiskt fält, med Booleskt utvärde;induktiv givare, fordonsdetektor, axelräknare, detektorslinga,  larmbåge, metalldetektor, tungrelä
Grundfunktioner och Komponenter;BED;Magnetfältssensor;fältavkännande objekt för magnetiskt fält, med skalärt utvärde;induktiv sensor
Grundfunktioner och Komponenter;BF;Flödesavkännande objekt;avkännande objekt för flöde;Vattenmätare
Grundfunktioner och Komponenter;BFA;Flödesdetektor;flödesavkännande objekt, med Booleskt utvärde;
Grundfunktioner och Komponenter;BFB;Flödessensor;flödesavkännande objekt, med skalärt utvärde;flödesmätdon, flödesmätare
Grundfunktioner och Komponenter;BG;Fysisk dimensionsavkännande objekt;avkännande objekt för rumslig dimension och/eller position;avkännade objekt för mått och position
Grundfunktioner och Komponenter;BGA;Positionsdetektor;fysisk dimensionsavkännande objekt för position, med Booleskt utvärde;dörrsensor, fotocell, gränslägesbrytare, indikeringsdon för färdriktning, ir-detektor, magnetkontakt
Grundfunktioner och Komponenter;BGB;Positionssensor;fysisk dimensionsavkännande objekt för position, med skalärt utvärde;givare läge
Grundfunktioner och Komponenter;BGC;Längddetektor;fysisk dimensionsavkännande objekt för längd, med Booleskt utvärde;
Grundfunktioner och Komponenter;BGD;Längdsensor;fysisk dimensionsavkännande objekt för längd, med skalärt utvärde;
Grundfunktioner och Komponenter;BGE;Vinkeldetektor;fysisk dimensionsavkännande objekt för vinkel, med Booleskt utvärde;
Grundfunktioner och Komponenter;BGF;Vinkelsensor;fysisk dimensionsavkännande objekt för vinkel eller riktning, med skalärt utvärde;vindindikator, vindriktningsvisare, vindstrut
Grundfunktioner och Komponenter;BGG;Objektskanner;fysisk dimensionsavkännande objekt för fysiska objekt;3d-skanner, laserskanner
Grundfunktioner och Komponenter;BH;Energiavkännande objekt;avkännande objekt för energi;
Grundfunktioner och Komponenter;BHA;Flödesenergimätare;energiavkännande objekt av flöde med känd energidensitet;vindmätare
Grundfunktioner och Komponenter;BHB;Värmeenergimätare;energiavkännande objekt av flöde med känd värmekapacitet;
Grundfunktioner och Komponenter;BHC;Elmätare;energiavkännande objekt av elektriskt flöde;
Grundfunktioner och Komponenter;BJ;Effektavkännande objekt;avkännande objekt för effekt;
Grundfunktioner och Komponenter;BJA;Effektdetektor;effektavkännande objekt, med Boolskt utvärde;
Grundfunktioner och Komponenter;BJB;Effektsensor;effektavkännande objekt, med skalärt utvärde;kraftmätare
Grundfunktioner och Komponenter;BK;Tidsavkännande objekt;avkännande objekt för tid;
Grundfunktioner och Komponenter;BKA;Tidsströmställare;tidsavkännande objekt, med Booleskt utvärde;timer, tidsbrytare
Grundfunktioner och Komponenter;BKB;Tidssensor;tidsavkännande objekt, med skalärt utvärde;klocka, tidmätare, tidtagarur
Grundfunktioner och Komponenter;BL;Nivåavkännande objekt;avkännande objekt för nivå;
Grundfunktioner och Komponenter;BLA;Nivådetektor;nivåavkännande objekt, med Booleskt utvärde;
Grundfunktioner och Komponenter;BLB;Nivåsensor;nivåavkännande objekt, med skalärt utvärde;givare nivå, grundvattenrör, nivågivare, nivåavkännare, höjdmätare
Grundfunktioner och Komponenter;BM;Fuktighetsavkännande objekt;avkännande objekt för fuktighet;luftfuktighet
Grundfunktioner och Komponenter;BMA;Fuktighetsdetektor;fuktighetsavkännande objekt, med Booleskt utvärde;snödetektor
Grundfunktioner och Komponenter;BMB;Fuktighetssensor;fuktighetsavkännande objekt, med skalärt utvärde;fuktighetsmätare, givare humiditet
Grundfunktioner och Komponenter;BP;Tryckavkännande objekt;avkännande objekt för tryck;tryck, vakuum, vacuum
Grundfunktioner och Komponenter;BPA;Tryckdetektor;tryckavkännande objekt för uppmätt eller absolut tryck, med Booleskt utvärde;
Grundfunktioner och Komponenter;BPB;Trycksensor;tryckavkännande objekt för uppmätt eller absolut tryck, med skalärt utvärde;givare tryck, manometer, tryckgivare, tryckmätare, barometer
Grundfunktioner och Komponenter;BPC;Tryckskillnadsdetektor;tryckavkännande objekt för differentialtryckavkänning, med Booleskt utvärde;
Grundfunktioner och Komponenter;BPD;Tryckskillnadssensor;tryckavkännande objekt för differentialtryckavkänning, med skalärt utvärde;
Grundfunktioner och Komponenter;BQ;Koncentrationsavkännande objekt;avkännande objekt för substanskoncentration;
Grundfunktioner och Komponenter;BQA;Gasdetektor;koncentrationsavkännande objekt för gas, med Booleskt utvärde;gasvarnare
Grundfunktioner och Komponenter;BQB;Gassensor;koncentrationsavkännande objekt för gas, med skalärt utvärde;givare co
Grundfunktioner och Komponenter;BQC;Vätskedetektor;koncentrationsavkännande objekt för vätska, med Booleskt utvärde;dimdetektor, siktdetektor
Grundfunktioner och Komponenter;BQD;Vätskesensor;koncentrationsavkännande objekt för vätska, med skalärt utvärde;dimmätare, siktgivare, siktmätare, siktsensor
Grundfunktioner och Komponenter;BQE;Solidmateriadetektor;koncentrationsavkännande objekt för solid materia, med Booleskt utvärde;givare brand, linjerökdetektor, rökdetektor, turbiditetsdetektor
Grundfunktioner och Komponenter;BQF;Solidmateriasensor;koncentrationsavkännande objekt för solid materia, med skalärt utvärde;stofthalt, turbiditetsgivare, turbiditetsmätare
Grundfunktioner och Komponenter;BR;Strålningsavkännande objekt;avkännande objekt för strålning;
Grundfunktioner och Komponenter;BRA;Ljusdetektor;strålningsavkännande objekt för synliga elektromagnetiska vågor, med Booleskt utvärde;fotocell, ljusbågsdetektor, ljusbågsvakt
Grundfunktioner och Komponenter;BRB;Ljussensor;strålningsavkännande objekt för synliga elektromagnetiska vågor, med skalärt utvärde;givare luminans, ljusmätare, luxmätare
Grundfunktioner och Komponenter;BRC;Elektromagnetisk vågdetektor;strålningsavkännande objekt för icke synlig elektromagnetism, med Booleskt utvärde;
Grundfunktioner och Komponenter;BRD;Elektromagnetisk vågsensor;strålningsavkännande objekt för icke synlig elektromagnetism, med skalärt utvärde;
Grundfunktioner och Komponenter;BRE;Nukleär patrikeldetektor;strålningsavkännande objekt för nukleära partiklar, med Booleskt utvärde;strålningsdetektor
Grundfunktioner och Komponenter;BRF;Nukleär partikelsensor;strålningsavkännande objekt för nukleära partiklar, med skalärt utvärde;geigermätare, strålningsmätare, strålningssensor
Grundfunktioner och Komponenter;BS;Tempoavkännande objekt;avkännande objekt för tempo;Hastighet, frekvens, acceleration, retardation
Grundfunktioner och Komponenter;BSA;Frekvensdetektor;tempoavkännande objekt för icke roterande cykler, med Booleskt utvärde;
Grundfunktioner och Komponenter;BSB;Frekvenssensor;tempoavkännande objekt för icke roterande cykler, med skalärt utvärde;frekvensgivare, frekvensmätare
Grundfunktioner och Komponenter;BSC;Hastighetsdetektor;tempoavkännande objekt för distans, med Booleskt utvärde;rörelsedetektor
Grundfunktioner och Komponenter;BSD;Hastighetssensor;tempoavkännande objekt för distans, med skalärt utvärde;givare hastighet, hastighetsmätare
Grundfunktioner och Komponenter;BSE;Rotationsdetektor;tempoavkännande objekt för rotation, med Booleskt utvärde;
Grundfunktioner och Komponenter;BSF;Rotationssensor;tempoavkännande objekt för rotation, med skalärt utvärde;varvräknare
Grundfunktioner och Komponenter;BSG;Vibrationsdetektor;tempoavkännande objekt för hastighet, med Booleskt utvärde;accelerationströskeldetektor, givare vibration
Grundfunktioner och Komponenter;BSH;Vibrationssensor;tempoavkännande objekt för hastighet, med skalärt utvärde;bromsprovare, seismisk mätare
Grundfunktioner och Komponenter;BT;Temperaturavkännande objekt;avkännande objekt för temperatur;
Grundfunktioner och Komponenter;BTA;Temperaturdetektor;temperaturavkännande objekt med Booleskt utvärde;givare brand, värmedetektor
Grundfunktioner och Komponenter;BTB;Temperatursensor;temperaturavkännande objekt med skalärt utvärde;rälstemperaturgivare, temperaturgivare, termometer, utomhustemperaturgivare
Grundfunktioner och Komponenter;BU;Multifunktionellt avkännande objekt;avkännande objekt för multipla kvantiteter;multikvantitetavkännande objekt, flervariabel
Grundfunktioner och Komponenter;BUA;Flerfunktionsdetektor;multikvantitetsavkännande objekt med Booleskt utvärde(n);Buchholzrelä, flersensordetektor, multidetektor
Grundfunktioner och Komponenter;BUB;Flerfunktionssensor;multikvantitetsavkännande objekt med skalärt utvärde(n);distansskydd, kombidetektor, multimeter
Grundfunktioner och Komponenter;BW;Kraftavkännande objekt;avkännande objekt för vikt, kraft eller vridmoment;
Grundfunktioner och Komponenter;BWA;Viktdetektor;kraftavkännande objekt för vikt, med Booleskt utvärde;
Grundfunktioner och Komponenter;BWB;Viktsensor;kraftavkännande objekt för vikt, med skalärt utvärde;fordonsvåg, våg
Grundfunktioner och Komponenter;BWC;Kraftdetektor;kraftavkännande objekt för kraft, med Booleskt utvärde;
Grundfunktioner och Komponenter;BWD;Kraftsensor;kraftavkännande objekt för kraft, med skalärt utvärde;
Grundfunktioner och Komponenter;BWE;Vridmomentsdetektor;kraftavkännande objekt för vridmoment, med Booleskt utvärde;
Grundfunktioner och Komponenter;BWF;Vridmomentssensor;kraftavkännande objekt för vridmoment, med skalärt utvärde;
Grundfunktioner och Komponenter;BX;Audiovisuellt avkännande objekt;avkännande objekt för ljud och/eller visuellt utseende;
Grundfunktioner och Komponenter;BXA;Ljuddetektor;audiovisuellt avkännande objekt för ljud, med Booleskt utvärde;glaskrossdetektor, glaskrossningsdetektor, kavitationsdetektor, ljudlarm, stallningsdetektor
Grundfunktioner och Komponenter;BXB;Ljudsensor;audiovisuellt avkännande objekt för ljud, med skalärt utvärde;ljudnivåmätare, mikrofon
Grundfunktioner och Komponenter;BXC;Bildigenkännare;audiovisuellt avkännande objekt för visuellt utseende, med Booleskt utvärde;ansiktsigenkännare, fingeravtrycksläsare, irisläsare
Grundfunktioner och Komponenter;BXD;Kamera;audiovisuellt avkännande objekt för visuellt utseende, med skalärt utvärde;bildskanner, bildläsare, bildsensor, scanner, skanner, stillbildskamera, trafikkamera, videokamera, webbkamera, övervakningskamera
Grundfunktioner och Komponenter;BXE;Videokamera;audiovisuellt avkännande objekt för ljud och visuellt utseende, med skalärt utvärde;
Grundfunktioner och Komponenter;BY;Informationsavkännande objekt;avkännande objekt för lagrad information;
Grundfunktioner och Komponenter;BYA;Chipkortläsare;informationsavkännande objekt genom elektriskt kontakt;kortläsare
Grundfunktioner och Komponenter;BYB;Elektromagnetläsare;informationsavkännande objekt genom elektromagnetiskt fält;biljettläsare, kortläsare, magnetbandläsare, magnetkortläsare, nfc-läsare, rfid-läsare
Grundfunktioner och Komponenter;BYC;Ljusläsare;informationsavkännande objekt genom ljus;qr-kodläsare, streckkodsläsare
Grundfunktioner och Komponenter;BYD;Betalautomat;informationsavkännande objekt för ekonomisk transaktion;biljettautomat, parkeringsautomat, parkeringsmätare, p-automat, p-mätare
Grundfunktioner och Komponenter;BZ;Händelsesavkännande objekt;avkännande objekt för händelser eller summor;
Grundfunktioner och Komponenter;BZA;Kvantitetsdetektor;händelseavkännande objekt för detektering av händelse, med Booleskt utvärde;tröskelmätare
Grundfunktioner och Komponenter;BZB;Kvantitetssensor;händelseavkännande objekt för detektering av antal händelser, med skalärt utvärde;räknare, varvtalsmätare, varvräknare
Grundfunktioner och Komponenter;BZC;Materialdetektor;händelseavkännande objekt för detektering av närvaron av materia, med Booleskt utvärde;
Grundfunktioner och Komponenter;BZD;Persondetektor;händelseavkännande objekt för detektering av närvaron av personer, med Booleskt utvärde;närvarodetektor, närvarogivare, passagedetektor, passagerardetektor, rörelsedetektor
Grundfunktioner och Komponenter;C;Lagrande  objekt;objekt för lagring för senare åtkomst;
Grundfunktioner och Komponenter;CA;Kapacitivt lagrande objekt;lagrande objekt för elektrisk energi i ett elektrostatiskt fält;
Grundfunktioner och Komponenter;CAA;Kondensator;kapacititvt lagrande objekt för elektisk laddning;
